Name                          Max Probability
12v3 1 3 1 1 3                     0.0117296
12v3 1 3 2 1 2                     0.00585937
12v3 1 2 1 3 2                     0.00585938
12v3 1 2 1 2 1 1 1                 0.0253423
12v3 1 2 1 2 3                     0.046875
12v3 1 2 1 1 1 2 1                 0.0234375
12v3 1 2 1 1 1 1 2                 0.026268
12v3 1 2 1 1 2 1 1                 0.0247458
12v3 1 2 2 2 2                     0.0150959
12v3 1 2 2 1 1 1 1                 0.046875
12v3 1 2 2 1 3                     0.00585938
12v3 1 2 3 2 1                     0.00585937
12v3 1 2 3 1 2                     0.0234375
12v3 1 1 1 3 1 1 1                 0.0117187
12v3 1 1 1 3 3                     0.0143873
12v3 1 1 1 2 1 1 2                 0.046875
12v3 1 1 1 2 2 1 1                 0.0258551
12v3 1 1 1 1 1 2 2                 0.0291845
12v3 1 1 1 1 1 1 1 1 1             0.0457378
12v3 1 1 1 1 1 1 3                 0.0240067
12v3 1 1 1 1 2 1 2                 0.02629
12v3 1 1 1 1 3 1 1                 0.0130176
12v3 1 1 2 3 2                     0.0117188
12v3 1 1 2 2 3                     0.0117188
12v3 1 1 2 1 1 1 2                 0.0264532
12v3 1 1 2 1 2 1 1                 0.0139366
12v3 1 1 3 2 2                     0.0234375
12v3 2 2 1 2 2                     0.0234375
12v3 2 2 2 1 2                     0.0252241
12v3 2 1 1 2 3                     0.011667
12v3 2 1 1 1 1 1 2                 0.0253562
12v3 3 3 3                         0.00764614
12v2 1 2 1 2 1 2 1                 0.00764614
12v2 1 2 1 2 1 1 2                 0.0488777
12v2 1 2 1 1 1 2 2                 0.0670848
12v2 1 2 1 1 1 1 1 1 1             0.105233
12v2 1 2 1 1 2 1 2                 0.0237832
12v2 1 2 2 1 1 1 2                 0.0312825
12v2 1 1 1 2 1 1 1 1 1             0.0986201
12v2 1 1 1 1 1 1 1 1 2             0.123919
12v2 1 1 1 1 1 1 2 1 1             0.0934864
12v2 1 1 1 1 2 2 2                 0.048143
12v2 1 1 1 1 2 1 1 1 1             0.048726
12v2 1 1 2 2 1 1 2                 0.0154537
12v2 1 1 2 2 2 1 1                 0.0302756
12v2 2 2 2 2 2                     0.00942869
12v1 1 1 1 1 1 1 1 1 1 1 1         0.0447274
13v13                              0.0325851
13v12 1                            0.0342171
13v11 2                            0.0973602
13v10 1 1 1                        0.0285445
13v10 3                            0.0829674
13v9 1 2 1                         0.0116079
13v9 1 1 2                         0.0292355
13v9 4                             0.0731397
13v8 1 3 1                         0.00770472
13v8 1 2 2                         0.021356
13v8 1 1 1 1 1                     0.0195275
13v8 1 1 3                         0.0377065
13v8 2 1 2                         0.0174179
13v8 5                             0.0777291
13v7 1 4 1                         0.00966626
13v7 1 3 2                         0.0185212
13v7 1 2 1 1 1                     0.0159532
13v7 1 2 3                         0.0189631
13v7 1 1 1 1 2                     0.017455
13v7 1 1 2 1 1                     0.0143319
13v7 1 1 4                         0.0390649
13v7 2 2 2                         0.0372177
13v7 2 1 3                         0.0189607
13v7 6                             0.0763852
13v6 1 5 1                         0.00788377
13v6 1 4 2                         0.0184872
13v6 1 3 1 1 1                     0.0133556
13v6 1 3 3                         0.0190152
13v6 1 2 1 2 1                     0.00678237
13v6 1 2 1 1 2                     0.00674294
13v6 1 2 2 1 1                     0.00669945
13v6 1 2 4                         0.0190854
13v6 1 1 1 2 2                     0.0201924
13v6 1 1 1 1 1 1 1                 0.0189307
13v6 1 1 1 1 3                     0.018599
13v6 1 1 2 1 2                     0.0073265
13v6 1 1 3 1 1                     0.0133066
13v6 1 1 5                         0.0344005
13v6 2 3 2                         0.0237785
13v6 2 2 3                         0.0510138
13v6 2 1 1 1 2                     0.0157447
13v6 2 1 4                         0.0190633
13v6 3 1 3                         0.0101568
13v5 1 5 2                         0.00928425
13v5 1 4 1 1 1                     0.019378
13v5 1 4 3                         0.0176089
13v5 1 3 1 2 1                     0.00821645
13v5 1 3 1 1 2                     0.007161
13v5 1 3 2 1 1                     0.00687091
13v5 1 3 4                         0.0178012
13v5 1 2 1 2 2                     0.0124806
13v5 1 2 1 1 1 1 1                 0.0297778
13v5 1 2 1 1 3                     0.0093946
13v5 1 2 2 2 1                     0.00518241
13v5 1 2 2 1 2                     0.00709957
13v5 1 2 3 1 1                     0.00681857
13v5 1 2 5                         0.0191558
13v5 1 1 1 3 2                     0.0105363
13v5 1 1 1 2 1 1 1                 0.0104244
13v5 1 1 1 2 3                     0.0149877
13v5 1 1 1 1 1 1 2                 0.0302019
13v5 1 1 1 1 2 1 1                 0.0241616
13v5 1 1 1 1 4                     0.0180782
13v5 1 1 2 2 2                     0.0203376
13v5 1 1 2 1 3                     0.00748646
13v5 1 1 3 1 2                     0.00677862
13v5 1 1 4 1 1                     0.0155504
13v5 2 4 2                         0.0248435
13v5 2 3 3                         0.0400785
13v5 2 2 1 1 2                     0.0206058
13v5 2 2 4                         0.0495942
13v5 2 1 1 1 3                     0.0100966
13v5 2 1 2 1 2                     0.00891003
13v5 3 2 3                         0.0191995
13v5 3 1 4                         0.017769
13v4 1 4 1 2 1                     0.00591916
13v4 1 4 1 1 2                     0.00966056
13v4 1 4 4                         0.00871909
13v4 1 3 1 3 1                     0.00339111
13v4 1 3 1 2 2                     0.00673863
13v4 1 3 1 1 1 1 1                 0.016676
13v4 1 3 1 1 3                     0.00872774
13v4 1 3 2 2 1                     0.00673873
13v4 1 3 2 1 2                     0.00674033
13v4 1 3 3 1 1                     0.0122412
13v4 1 2 1 3 2                     0.00674045
13v4 1 2 1 2 1 1 1                 0.0220255
13v4 1 2 1 2 3                     0.00768238
13v4 1 2 1 1 1 2 1                 0.00802657
13v4 1 2 1 1 1 1 2                 0.00993731
13v4 1 2 1 1 2 1 1                 0.0152333
13v4 1 2 1 1 4                     0.0139199
13v4 1 2 2 2 2                     0.0108728
13v4 1 2 2 1 1 1 1                 0.0169102
13v4 1 2 2 1 3                     0.00674022
13v4 1 2 3 2 1                     0.00411332
13v4 1 2 3 1 2                     0.00674034
13v4 1 2 4 1 1                     0.00815513
13v4 1 1 1 4 2                     0.00511875
13v4 1 1 1 3 1 1 1                 0.0101448
13v4 1 1 1 3 3                     0.0180692
13v4 1 1 1 2 1 1 2                 0.0101964
13v4 1 1 1 2 2 1 1                 0.0189699
13v4 1 1 1 2 4                     0.00940831
13v4 1 1 1 1 1 2 2                 0.0178716
13v4 1 1 1 1 1 1 1 1 1             0.0469924
13v4 1 1 1 1 1 1 3                 0.0207514
13v4 1 1 1 1 2 1 2                 0.0192867
13v4 1 1 1 1 3 1 1                 0.0218858
13v4 1 1 2 3 2                     0.0127533
13v4 1 1 2 2 3                     0.00834308
13v4 1 1 2 1 1 1 2                 0.0140148
13v4 1 1 2 1 2 1 1                 0.0124558
13v4 1 1 3 2 2                     0.0142417
13v4 1 1 3 1 3                     0.00828355
13v4 2 4 3                         0.0185052
13v4 2 3 1 1 2                     0.00704217
13v4 2 3 4                         0.0362536
13v4 2 2 1 2 2                     0.00707967
13v4 2 2 1 1 3                     0.00689376
13v4 2 2 2 1 2                     0.0190669
13v4 2 1 1 2 3                     0.0118328
13v4 2 1 1 1 1 1 2                 0.0137406
13v4 2 1 2 1 3                     0.006742
13v4 2 1 3 1 2                     0.00337011
13v4 3 3 3                         0.0174399
13v4 3 1 1 1 3                     0.00671095
13v3 1 3 1 3 2                     0.00335906
13v3 1 3 1 2 1 1 1                 0.00904871
13v3 1 3 1 2 3                     0.00671918
13v3 1 3 1 1 1 1 2                 0.00897357
13v3 1 3 1 1 2 1 1                 0.00447525
13v3 1 3 2 2 2                     0.00604279
13v3 1 3 2 1 3                     0.00671919
13v3 1 2 1 3 1 1 1                 0.00454696
13v3 1 2 1 3 3                     0.00336017
13v3 1 2 1 2 1 2 1                 0.00629853
13v3 1 2 1 2 1 1 2                 0.0109214
13v3 1 2 1 2 2 1 1                 0.0107982
13v3 1 2 1 1 1 2 2                 0.0116243
13v3 1 2 1 1 1 1 1 1 1             0.0368864
13v3 1 2 1 1 1 1 3                 0.0089963
13v3 1 2 1 1 2 2 1                 0.0107965
13v3 1 2 1 1 2 1 2                 0.0109174
13v3 1 2 1 1 3 1 1                 0.0099746
13v3 1 2 2 3 2                     0.00749212
13v3 1 2 2 2 1 1 1                 0.0113581
13v3 1 2 2 2 3                     0.0074848
13v3 1 2 2 1 1 1 2                 0.0116636
13v3 1 2 2 1 2 1 1                 0.0107946
13v3 1 2 3 2 2                     0.00749389
13v3 1 2 3 1 1 1 1                 0.00897384
13v3 1 1 1 3 1 1 2                 0.00898335
13v3 1 1 1 2 1 2 2                 0.0116708
13v3 1 1 1 2 1 1 1 1 1             0.0325472
13v3 1 1 1 2 1 1 3                 0.0120286
13v3 1 1 1 2 2 1 2                 0.011722
13v3 1 1 1 2 3 1 1                 0.00898319
13v3 1 1 1 1 1 3 2                 0.00465688
13v3 1 1 1 1 1 2 3                 0.00998042
13v3 1 1 1 1 1 1 1 1 2             0.0356294
13v3 1 1 1 1 1 1 2 1 1             0.0321411
13v3 1 1 1 1 2 2 2                 0.0139985
13v3 1 1 1 1 2 1 1 1 1             0.0163551
13v3 1 1 2 3 3                     0.0102793
13v3 1 1 2 2 1 1 2                 0.0118524
13v3 1 1 2 2 2 1 1                 0.00572635
13v3 1 1 2 1 1 2 2                 0.0117746
13v3 1 1 2 1 2 1 2                 0.0109266
13v3 1 1 3 3 2                     0.00885763
13v3 2 3 2 1 2                     0.00479019
13v3 2 2 1 2 3                     0.0102673
13v3 2 2 1 1 1 1 2                 0.0219505
13v3 2 2 2 2 2                     0.0178518
13v3 2 1 1 2 1 1 2                 0.0064585
13v3 2 1 1 1 2 1 2                 0.0140865
13v2 1 2 1 2 1 2 2                 0.0127611
13v2 1 2 1 2 1 1 1 1 1             0.038948
13v2 1 2 1 2 2 1 2                 0.0106332
13v2 1 2 1 1 1 2 1 1 1             0.036516
13v2 1 2 1 1 1 1 1 1 2             0.0849831
13v2 1 2 1 1 1 1 2 1 1             0.0686604
13v2 1 2 1 1 2 2 2                 0.0293237
13v2 1 2 2 2 1 1 2                 0.0294223
13v2 1 1 1 2 1 1 1 1 2             0.0857739
13v2 1 1 1 2 1 1 2 1 1             0.032569
13v2 1 1 1 2 2 2 2                 0.0279681
13v2 1 1 1 1 1 2 1 1 2             0.0816771
13v2 1 1 1 1 1 1 1 2 2             0.0597948
13v2 1 1 1 1 1 1 1 1 1 1 1         0.177588
14v14                              0.0237406
14v13 1                            0.0255919
14v12 2                            0.0760706
14v11 1 1 1                        0.0212421
14v11 3                            0.0650772
14v10 1 2 1                        0.00859783
14v10 1 1 2                        0.0218214
14v10 4                            0.0569906
14v9 1 3 1                         0.00536732
14v9 1 2 2                         0.015736
14v9 1 1 1 1 1                     0.013223
14v9 1 1 3                         0.0283241
14v9 2 1 2                         0.0125464
14v9 5                             0.0607081
14v8 1 4 1                         0.00648676
14v8 1 3 2                         0.0134392
14v8 1 2 1 1 1                     0.00988056
14v8 1 2 3                         0.0137827
14v8 1 1 1 1 2                     0.0121665
14v8 1 1 2 1 1                     0.0100338
14v8 1 1 4                         0.0284685
14v8 2 2 2                         0.0287841
14v8 2 1 3                         0.0138011
14v8 6                             0.0598687
14v7 1 5 1                         0.00553605
14v7 1 4 2                         0.0133317
14v7 1 3 1 1 1                     0.00926168
14v7 1 3 3                         0.0140169
14v7 1 2 1 2 1                     0.00461024
14v7 1 2 1 1 2                     0.00426711
14v7 1 2 2 1 1                     0.00403662
14v7 1 2 4                         0.0138779
14v7 1 1 1 2 2                     0.0155742
14v7 1 1 1 1 1 1 1                 0.013223
14v7 1 1 1 1 3                     0.0129233
14v7 1 1 2 1 2                     0.00526643
14v7 1 1 3 1 1                     0.00982637
14v7 1 1 5                         0.025694
14v7 2 3 2                         0.0184502
14v7 2 2 3                         0.0396647
14v7 2 1 1 1 2                     0.0106944
14v7 2 1 4                         0.0138475
14v7 3 1 3                         0.00760862
14v7 7                             0.0297678
14v6 1 6 1                         0.00273138
14v6 1 5 2                         0.0134022
14v6 1 4 1 1 1                     0.0121836
14v6 1 4 3                         0.0126661
14v6 1 3 1 2 1                     0.00400382
14v6 1 3 1 1 2                     0.00425603
14v6 1 3 2 1 1                     0.00437886
14v6 1 3 4                         0.0129374
14v6 1 2 1 2 2                     0.00497695
14v6 1 2 1 1 1 1 1                 0.0129233
14v6 1 2 1 1 3                     0.00711434
14v6 1 2 2 2 1                     0.00248689
14v6 1 2 2 1 2                     0.00440888
14v6 1 2 3 1 1                     0.00422459
14v6 1 2 5                         0.0139182
14v6 1 1 1 3 2                     0.00801202
14v6 1 1 1 2 1 1 1                 0.00505376
14v6 1 1 1 2 3                     0.00873297
14v6 1 1 1 1 1 1 2                 0.0121665
14v6 1 1 1 1 2 1 1                 0.0131932
14v6 1 1 1 1 4                     0.0131932
14v6 1 1 2 2 2                     0.0104936
14v6 1 1 2 1 3                     0.00529505
14v6 1 1 3 1 2                     0.00415996
14v6 1 1 4 1 1                     0.0107222
14v6 1 1 6                         0.0136746
14v6 2 4 2                         0.0187437
14v6 2 3 3                         0.030745
14v6 2 2 1 1 2                     0.0121684
14v6 2 2 4                         0.0375587
14v6 2 1 1 1 3                     0.00712411
14v6 2 1 2 1 2                     0.00455374
14v6 2 1 5                         0.0139319
14v6 3 2 3                         0.0147767
14v6 3 1 4                         0.0129042
14v5 1 5 1 1 1                     0.00520842
14v5 1 5 3                         0.00639946
14v5 1 4 1 2 1                     0.00760213
14v5 1 4 1 1 2                     0.00452059
14v5 1 4 2 1 1                     0.00593927
14v5 1 4 4                         0.0125274
14v5 1 3 1 3 1                     0.0020565
14v5 1 3 1 2 2                     0.0041477
14v5 1 3 1 1 1 1 1                 0.00926168
14v5 1 3 1 1 3                     0.00511124
14v5 1 3 2 2 1                     0.00414826
14v5 1 3 2 1 2                     0.00415497
14v5 1 3 3 1 1                     0.00671598
14v5 1 3 5                         0.013074
14v5 1 2 1 3 2                     0.00415592
14v5 1 2 1 2 1 1 1                 0.0118726
14v5 1 2 1 2 3                     0.00525708
14v5 1 2 1 1 1 2 1                 0.00546908
14v5 1 2 1 1 1 1 2                 0.00712411
14v5 1 2 1 1 2 1 1                 0.00841772
14v5 1 2 1 1 4                     0.00629934
14v5 1 2 2 2 2                     0.00817442
14v5 1 2 2 1 1 1 1                 0.00801202
14v5 1 2 2 1 3                     0.00415436
14v5 1 2 3 2 1                     0.00207781
14v5 1 2 3 1 2                     0.00415504
14v5 1 2 4 1 1                     0.00561783
14v5 1 1 1 4 2                     0.00830288
14v5 1 1 1 3 1 1 1                 0.00520842
14v5 1 1 1 3 3                     0.0118726
14v5 1 1 1 2 1 1 2                 0.00842606
14v5 1 1 1 2 2 1 1                 0.00830288
14v5 1 1 1 2 4                     0.00842606
